    mnormiert       etaasm370      etaasm4k      etaasm11k
   1.7000000e+00   6.2079817e+01   8.5489923e+01   8.9354235e+01
   1.7200000e+00   6.1929516e+01   8.5382606e+01   8.9274239e+01
   1.7400000e+00   6.1778512e+01   8.5275121e+01   8.9194024e+01
   1.7600000e+00   6.1626868e+01   8.5167485e+01   8.9113603e+01
   1.7800000e+00   6.1474646e+01   8.5059714e+01   8.9032990e+01
   1.8000000e+00   6.1321905e+01   8.4951823e+01   8.8952198e+01
   1.8200000e+00   6.1168697e+01   8.4843828e+01   8.8871238e+01
   1.8400000e+00   6.1015077e+01   8.4735742e+01   8.8790121e+01
   1.8600000e+00   6.0861094e+01   8.4627580e+01   8.8708860e+01
   1.8800000e+00   6.0706795e+01   8.4519353e+01   8.8627464e+01
   1.9000000e+00   6.0552224e+01   8.4411074e+01   8.8545944e+01
   1.9200000e+00   6.0397426e+01   8.4302755e+01   8.8464309e+01
   1.9400000e+00   6.0242440e+01   8.4194407e+01   8.8382569e+01
   1.9600000e+00   6.0087305e+01   8.4086041e+01   8.8300732e+01
   1.9800000e+00   5.9932059e+01   8.3977667e+01   8.8218806e+01
   2.0000000e+00   5.9776735e+01   8.3869294e+01   8.8136801e+01
